HomeAdvantage,IsRound1,Result,TeamA_Rating,TeamB_Rating
0,0,1.0,67.92,64.61
0,0,1.0,85.65,82.84
0,0,1.0,72.28,70.79
0,0,1.0,83.23,81.68
0,1,1.0,88.08,82.87
0,1,1.0,84.27,81.41
0,1,1.0,81.88,83.93
0,1,1.0,85.56,85.07
0,1,1.0,90.74,72.37
0,1,1.0,77.96,85.67
0,1,1.0,96.19,67.92
0,1,1.0,85.99,80.0
0,1,1.0,84.69,85.65
0,1,1.0,92.6,77.07
0,1,1.0,89.8,80.47
0,1,1.0,85.88,85.6
0,1,1.0,86.26,77.51
0,1,1.0,91.46,73.51
0,1,1.0,87.08,80.11
0,1,1.0,88.14,88.36
0,1,1.0,87.31,84.68
0,1,1.0,91.99,74.11
0,1,1.0,78.45,87.22
0,1,1.0,92.19,75.4
0,1,1.0,84.22,82.88
0,1,1.0,92.5,72.28
0,1,1.0,86.07,84.36
0,1,1.0,90.88,72.27
0,1,1.0,83.23,85.36
0,1,1.0,88.2,75.03
0,1,1.0,86.86,82.87
0,1,1.0,85.26,87.56
0,1,1.0,85.33,82.32
0,1,1.0,90.61,77.73
0,1,1.0,84.37,82.39
0,1,1.0,82.57,84.52
0,0,1.0,88.08,77.96
0,0,1.0,96.19,85.56
0,0,1.0,85.99,84.27
0,0,1.0,92.6,87.08
0,0,1.0,89.8,84.69
0,0,1.0,85.88,86.26
0,0,1.0,91.46,81.88
0,0,1.0,88.14,90.74
0,0,1.0,91.99,87.31
0,0,1.0,78.45,84.37
0,0,1.0,92.19,86.86
0,0,1.0,92.5,82.57
0,0,1.0,90.88,85.33
0,0,1.0,83.23,85.26
0,0,1.0,88.2,84.22
0,0,1.0,90.61,86.07
0,0,1.0,85.99,88.2
0,0,1.0,90.61,88.08
0,0,1.0,91.46,92.5
0,0,1.0,88.14,83.23
0,0,1.0,91.99,89.8
0,0,1.0,92.19,78.45
0,0,1.0,96.19,85.88
0,0,1.0,92.6,90.88
0,0,1.0,91.46,85.99
0,0,1.0,88.14,90.61
0,0,1.0,96.19,91.99
0,0,1.0,92.6,92.19
0,0,1.0,96.19,88.14
0,0,1.0,92.6,91.46
0,0,1.0,96.19,92.6
0,0,0.0,64.61,67.92
0,0,0.0,82.84,85.65
0,0,0.0,70.79,72.28
0,0,0.0,81.68,83.23
0,1,0.0,82.87,88.08
0,1,0.0,81.41,84.27
0,1,0.0,83.93,81.88
0,1,0.0,85.07,85.56
0,1,0.0,72.37,90.74
0,1,0.0,85.67,77.96
0,1,0.0,67.92,96.19
0,1,0.0,80.0,85.99
0,1,0.0,85.65,84.69
0,1,0.0,77.07,92.6
0,1,0.0,80.47,89.8
0,1,0.0,85.6,85.88
0,1,0.0,77.51,86.26
0,1,0.0,73.51,91.46
0,1,0.0,80.11,87.08
0,1,0.0,88.36,88.14
0,1,0.0,84.68,87.31
0,1,0.0,74.11,91.99
0,1,0.0,87.22,78.45
0,1,0.0,75.4,92.19
0,1,0.0,82.88,84.22
0,1,0.0,72.28,92.5
0,1,0.0,84.36,86.07
0,1,0.0,72.27,90.88
0,1,0.0,85.36,83.23
0,1,0.0,75.03,88.2
0,1,0.0,82.87,86.86
0,1,0.0,87.56,85.26
0,1,0.0,82.32,85.33
0,1,0.0,77.73,90.61
0,1,0.0,82.39,84.37
0,1,0.0,84.52,82.57
0,0,0.0,77.96,88.08
0,0,0.0,85.56,96.19
0,0,0.0,84.27,85.99
0,0,0.0,87.08,92.6
0,0,0.0,84.69,89.8
0,0,0.0,86.26,85.88
0,0,0.0,81.88,91.46
0,0,0.0,90.74,88.14
0,0,0.0,87.31,91.99
0,0,0.0,84.37,78.45
0,0,0.0,86.86,92.19
0,0,0.0,82.57,92.5
0,0,0.0,85.33,90.88
0,0,0.0,85.26,83.23
0,0,0.0,84.22,88.2
0,0,0.0,86.07,90.61
0,0,0.0,88.2,85.99
0,0,0.0,88.08,90.61
0,0,0.0,92.5,91.46
0,0,0.0,83.23,88.14
0,0,0.0,89.8,91.99
0,0,0.0,78.45,92.19
0,0,0.0,85.88,96.19
0,0,0.0,90.88,92.6
0,0,0.0,85.99,91.46
0,0,0.0,90.61,88.14
0,0,0.0,91.99,96.19
0,0,0.0,92.19,92.6
0,0,0.0,88.14,96.19
0,0,0.0,91.46,92.6
0,0,0.0,92.6,96.19
0,0,1.0,72.12,69.18
0,0,1.0,81.12,81.74
0,0,1.0,70.93,66.43
0,0,1.0,88.23,86.13
0,1,1.0,90.61,82.39
0,1,1.0,84.67,87.19
0,1,1.0,93.27,72.12
0,1,1.0,84.88,86.32
0,1,1.0,93.92,80.69
0,1,1.0,90.1,71.46
0,1,1.0,90.66,77.41
0,1,1.0,80.59,84.69
0,1,1.0,85.6,81.91
0,1,1.0,87.14,80.96
0,1,1.0,87.4,79.31
0,1,1.0,84.29,81.12
0,1,1.0,87.96,74.98
0,1,1.0,82.87,83.02
0,1,1.0,89.81,72.5
0,1,1.0,91.99,74.48
0,1,1.0,93.65,71.92
0,1,1.0,87.04,81.12
0,1,1.0,86.13,76.14
0,1,1.0,86.35,86.22
0,1,1.0,88.09,78.81
0,1,1.0,88.3,75.78
0,1,1.0,90.27,82.7
0,1,1.0,84.43,82.85
0,1,1.0,79.85,88.43
0,1,1.0,85.82,82.52
0,1,1.0,79.83,85.81
0,1,1.0,84.64,84.36
0,1,1.0,88.23,82.14
0,1,1.0,88.86,79.25
0,1,1.0,90.38,69.85
0,1,1.0,89.55,70.93
0,0,1.0,90.61,89.81
0,0,1.0,84.67,87.96
0,0,1.0,93.27,87.14
0,0,1.0,93.92,84.29
0,0,1.0,90.1,82.87
0,0,1.0,90.66,84.88
0,0,1.0,87.4,80.59
0,0,1.0,91.99,85.6
0,0,1.0,93.65,86.35
0,0,1.0,87.04,86.13
0,0,1.0,88.09,85.82
0,0,1.0,90.27,89.55
0,0,1.0,84.64,88.3
0,0,1.0,88.23,79.85
0,0,1.0,88.86,79.83
0,0,1.0,90.38,84.43
0,0,1.0,93.65,87.4
0,0,1.0,84.67,84.64
0,0,1.0,93.27,88.86
0,0,1.0,91.99,87.04
0,0,1.0,90.61,88.09
0,0,1.0,90.27,93.92
0,0,1.0,90.1,88.23
0,0,1.0,90.66,90.38
0,0,1.0,93.27,84.67
0,0,1.0,91.99,93.65
0,0,1.0,90.61,90.66
0,0,1.0,90.27,90.1
0,0,1.0,90.61,93.27
0,0,1.0,90.27,91.99
0,0,1.0,90.61,90.27
0,0,0.0,69.18,72.12
0,0,0.0,81.74,81.12
0,0,0.0,66.43,70.93
0,0,0.0,86.13,88.23
0,1,0.0,82.39,90.61
0,1,0.0,87.19,84.67
0,1,0.0,72.12,93.27
